,Config,Time,Y1_Low,Y1_High,Y2_Low,Y2_High,Y3_Low,Y3_High,Y4_Low,Y5_Low,Y5_High
0,"5, 5, 5, 5, 5, 5, 5, 5, ",0.2166459560394287,-113606248054.56718,532513537195.8995,-107782106816.88942,599853158855.473,-66852492977.59885,403277816948.4423,-151534493708.3584,-99733397040.02371,355666703930.6367
1,"5, 10, 10, 10, 10, 10, 10, 5, ",0.6044681072235107,-3659467414.0032167,18124581696.6466,-3420451319.827886,19802276449.40762,-2165909683.8716664,13641253029.341024,-4718209633.617713,-4000945412.649841,13609735323.59088
2,"5, 15, 15, 15, 15, 15, 15, 5, ",1.4117331504821777,-198324650.80778348,1764409690.4644125,-239408090.06478724,1949049683.546316,-153803339.96079808,1450873338.277679,-434778631.6034872,-314412180.3803341,1293702166.5134125
3,"5, 20, 20, 20, 20, 20, 20, 5, ",3.481926918029785,-22456989.06889874,181705711.07897365,-28780246.18363205,202002505.03233665,-25246063.70555197,171646679.02229467,-50012592.32773481,-40872464.26314293,156365135.6303307
4,"5, 25, 25, 25, 25, 25, 25, 5, ",9.271159172058105,-2938845.09245243,18755841.87426212,-3704548.58921858,20515775.98035042,-3606968.87767612,16781123.50423274,-6118273.94094849,-6032403.31195433,16359129.81384931
